99: 342,158,342,137,442,137,442,158,0.914
99: 464,193,340,193,340,171,464,171,0.803
99: 340,133,340,111,431,111,431,133,0.762
99: 647,302,578,302,578,291,647,291,0.654
99: 650,287,593,287,593,277,650,277,0.616
99: 642,314,579,314,579,304,642,304,0.566
100: 449,175,384,175,384,147,449,147,0.988
100: 560,188,529,188,529,174,560,174,0.952
100: 530,251,530,236,558,236,558,251,0.871
100: 525,173,476,173,476,146,525,146,0.831
100: 385,233,385,206,523,206,523,233,0.79
100: 529,130,529,115,558,115,558,130,0.73
100: 382,116,382,88,469,88,469,116,0.599
102: 903,1889,903,1858,1046,1858,1046,1889,0.92
102: 731,450,731,387,830,387,830,450,0.89
102: 922,497,922,431,1038,431,1038,497,0.867
103: 333,104,283,104,283,91,333,91,0.94
103: 289,136,269,136,269,122,289,122,0.93
103: 182,122,154,122,154,107,182,107,0.889
103: 222,122,195,122,195,107,222,107,0.866
103: 207,99,171,99,171,84,207,84,0.852
103: 186,150,164,150,164,136,186,136,0.851
103: 449,298,449,284,494,284,494,298,0.527
136: 321,142,274,142,274,120,321,120,0.972
136: 397,156,331,156,331,126,397,126,0.839
136: 394,80,275,80,275,53,394,53,0.823
137: 116,97,116,81,206,81,206,97,0.797
137: 206,108,115,108,115,99,206,99,0.666
164: 579,377,579,308,779,308,779,377,0.911
164: 638,372,574,372,574,55,638,55,0.764
164: 653,378,653,67,709,67,709,378,0.665
164: 583,138,583,56,777,56,777,138,0.535
177: 877,381,723,381,723,320,877,320,0.94
177: 483,336,303,336,303,291,483,291,0.793
250: 1112,532,1112,490,1191,490,1191,532,0.937
250: 1229,698,1229,659,1355,659,1355,698,0.86
250: 1105,692,1105,655,1214,655,1214,692,0.811
250: 1236,533,1236,493,1345,493,1345,533,0.751
250: 1237,613,1237,574,1348,574,1348,613,0.739
250: 1211,611,1101,611,1101,570,1211,570,0.737
251: 45,203,45,163,188,163,188,203,0.943
251: 399,128,313,128,313,89,399,89,0.885
251: 319,205,319,166,415,166,415,205,0.878
251: 207,127,55,127,55,83,207,83,0.831
251: 396,237,339,237,339,211,396,211,0.793
251: 269,235,205,235,205,212,269,212,0.746
251: 128,237,70,237,70,210,128,210,0.713
252: 428,144,382,144,382,131,428,131,0.88
252: 331,163,281,163,281,151,331,151,0.82
252: 430,166,381,166,381,154,430,154,0.8
252: 338,143,289,143,289,130,338,130,0.741
252: 350,119,314,119,314,107,350,107,0.695
252: 397,122,362,122,362,108,397,108,0.683
253: 567,901,567,830,690,830,690,901,0.901
253: 231,822,231,729,406,729,406,822,0.894
253: 439,904,439,850,538,850,538,904,0.846
253: 229,750,229,736,410,736,410,750,0.807
253: 565,846,565,766,689,766,689,846,0.794
253: 245,764,245,664,404,664,404,764,0.746
253: 418,749,418,663,558,663,558,749,0.642
254: 265,117,221,117,221,99,265,99,0.942
254: 330,114,294,114,294,96,330,96,0.886
254: 289,91,256,91,256,77,289,77,0.699
255: 76,139,76,66,322,67,322,139,0.869
255: 75,400,75,330,338,330,338,400,0.794
255: 173,52,173,13,283,13,283,52,0.727
255: 91,151,91,10,150,10,150,151,0.552
256: 118,197,106,197,106,128,118,128,0.889
256: 256,197,256,180,285,180,285,197,0.833
256: 196,145,196,126,231,126,231,145,0.717
256: 128,188,128,156,202,156,202,188,0.703
256: 277,170,253,170,253,153,277,153,0.697
256: 146,213,146,195,210,195,210,213,0.692
258: 906,544,906,493,985,493,985,544,0.92
258: 521,430,521,359,677,359,677,430,0.914
258: 508,500,508,432,669,432,669,500,0.848
258: 699,563,699,512,814,512,814,563,0.82
258: 669,376,669,300,832,300,832,376,0.759
258: 1031,458,893,458,893,451,1031,451,0.687
258: 869,402,869,338,1007,338,1007,402,0.631
258: 893,478,893,424,1026,424,1026,478,0.549
259: 257,396,230,396,230,297,257,297,0.877
259: 429,285,333,285,333,256,429,256,0.868
259: 472,378,403,378,403,354,472,354,0.861
259: 486,397,486,297,516,297,516,397,0.851
259: 290,378,290,354,356,354,356,378,0.778
259: 370,397,370,320,393,320,393,397,0.684
261: 158,333,158,275,372,275,372,333,0.906
261: 440,228,301,228,301,165,440,165,0.876
261: 730,397,585,397,585,351,730,351,0.867
261: 259,430,259,376,387,376,387,430,0.77
261: 584,534,369,534,369,476,584,476,0.638
262: 68,132,68,114,108,114,108,132,0.909
262: 135,96,93,96,93,79,135,79,0.881
262: 143,124,143,113,172,113,172,124,0.879
262: 99,63,99,44,133,44,133,63,0.839
262: 142,135,142,125,172,125,172,135,0.776
262: 179,136,179,116,233,116,233,136,0.732
262: 140,111,140,85,264,85,264,111,0.693
262: 258,59,154,59,154,32,258,32,0.669
262: 161,66,146,66,146,54,161,54,0.64
263: 313,92,278,92,278,73,313,73,0.948
263: 259,88,224,88,224,69,259,69,0.929
263: 45,185,45,150,154,150,154,185,0.829
263: 42,127,42,94,150,94,150,127,0.804
263: 179,227,179,205,279,205,279,227,0.706
263: 104,77,104,41,207,41,207,77,0.694
263: 189,166,189,147,251,147,251,166,0.578
264: 116,107,116,92,166,92,166,107,0.925
264: 227,66,171,66,171,55,227,55,0.848
264: 276,106,210,106,210,93,276,93,0.761
265: 243,401,243,230,308,230,308,401,0.901
265: 948,410,882,410,882,262,948,262,0.876
265: 1058,415,1058,267,1124,267,1124,415,0.862
265: 1150,433,1150,261,1211,261,1211,433,0.836
265: 700,431,636,431,636,262,700,262,0.827
265: 608,377,542,377,542,333,608,333,0.611
265: 856,364,791,364,791,322,856,322,0.545
267: 272,91,152,91,152,63,272,63,0.967
267: 473,186,369,186,369,148,473,148,0.943
267: 375,250,375,212,472,212,472,250,0.925
267: 415,96,315,96,315,62,415,62,0.913
267: 202,237,99,237,99,204,202,204,0.89
267: 99,179,99,145,204,145,204,179,0.77
268: 81,142,81,118,147,118,147,142,0.877
268: 237,149,237,127,305,127,305,149,0.848
268: 159,82,159,54,239,54,239,82,0.817
269: 506,82,409,82,409,42,506,42,0.945
269: 212,83,212,44,372,44,372,83,0.839
269: 438,177,344,177,344,135,438,135,0.806
269: 130,180,130,135,318,135,318,180,0.768
271: 254,188,254,152,414,152,414,188,0.862
271: 195,183,70,183,70,147,195,147,0.805
271: 391,120,272,120,272,84,391,84,0.785
271: 281,253,185,253,185,226,281,226,0.72
271: 154,263,125,263,125,244,154,244,0.619
271: 340,264,316,264,316,245,340,245,0.592
272: 259,100,259,85,334,85,334,100,0.918
272: 336,72,252,72,252,57,336,57,0.815
272: 93,73,93,58,167,58,167,73,0.799
272: 84,101,84,84,174,84,174,101,0.795
272: 163,45,97,45,97,30,163,30,0.774
272: 263,44,263,29,328,29,328,44,0.704
273: 722,378,722,329,845,329,845,378,0.963
273: 566,438,471,438,471,405,566,405,0.914
273: 680,314,680,257,846,257,846,314,0.828
273: 446,261,446,208,605,208,605,261,0.673
274: 717,382,717,334,810,334,810,382,0.947
274: 835,403,835,356,923,356,923,403,0.841
274: 727,301,727,255,819,255,819,301,0.804
274: 948,327,844,327,844,273,948,273,0.788
275: 285,136,243,136,243,119,285,119,0.981
275: 241,165,241,150,282,150,282,165,0.962
275: 310,95,310,73,414,73,414,95,0.635
275: 354,160,312,160,312,145,354,145,0.59
276: 149,82,87,82,87,58,149,58,0.877
276: 83,134,23,134,23,109,83,109,0.756
276: 226,148,142,148,142,121,226,121,0.75
276: 116,171,91,171,91,160,116,160,0.631
276: 69,168,34,168,34,151,69,151,0.561
278: 659,625,659,509,690,509,690,625,0.959
278: 562,626,537,626,537,530,562,530,0.957
278: 465,595,465,573,526,573,526,595,0.896
278: 591,478,499,478,499,439,591,439,0.868
278: 573,586,573,563,634,563,634,586,0.579
279: 530,497,530,422,681,422,681,497,0.871
279: 860,624,860,551,1019,551,1019,624,0.847
279: 540,439,540,359,694,359,694,439,0.817
279: 885,557,885,480,1020,480,1020,557,0.814
279: 824,419,718,419,718,355,824,355,0.79
279: 515,559,515,484,669,484,669,559,0.789
280: 352,191,293,191,293,169,352,169,0.955
280: 231,142,231,125,297,125,297,142,0.722
280: 267,196,257,196,257,170,267,170,0.69
281: 540,309,426,309,426,282,540,282,0.859
281: 423,230,423,212,539,212,539,230,0.846
281: 402,236,229,236,229,207,402,207,0.8
281: 335,309,307,309,307,253,335,253,0.759
281: 542,358,472,358,472,338,542,338,0.73
281: 538,210,419,210,419,192,538,192,0.668
281: 424,281,424,249,534,249,534,281,0.587
281: 334,358,251,358,251,340,334,340,0.558
281: 331,278,264,278,264,252,331,252,0.557
282: 323,302,271,302,271,283,323,283,0.94
283: 298,95,298,75,361,75,361,95,0.851
283: 281,57,281,39,344,39,344,57,0.806
283: 253,59,193,59,193,40,253,40,0.787
283: 164,97,164,78,227,78,227,97,0.773
283: 237,110,237,96,287,96,287,110,0.601
284: 272,280,272,248,388,248,388,280,0.896
284: 55,400,55,371,168,371,168,400,0.879
284: 363,387,363,351,479,351,479,387,0.869
284: 287,365,243,365,243,348,287,348,0.776
284: 256,288,150,288,150,257,256,257,0.771
284: 170,348,57,348,57,319,170,319,0.762
284: 283,402,243,402,243,388,283,388,0.686
284: 476,337,362,337,362,297,476,297,0.669
286: 88,279,88,241,230,241,230,279,0.903
286: 441,239,319,239,319,195,441,195,0.836
286: 77,349,77,322,200,322,200,349,0.8
286: 93,170,93,128,282,128,282,170,0.615
287: 311,88,281,88,281,79,311,79,0.922
287: 343,71,305,71,305,62,343,62,0.896
287: 334,85,334,73,383,73,383,85,0.785
287: 314,103,279,103,279,92,314,92,0.77
287: 372,100,346,100,346,89,372,89,0.741
287: 2,180,2,162,38,162,38,180,0.725
289: 241,140,241,129,275,129,275,140,0.871
289: 369,73,273,73,273,51,369,51,0.834
289: 167,111,167,98,226,98,226,111,0.832
289: 246,73,153,73,153,51,246,51,0.826
289: 358,111,283,111,283,96,358,96,0.797
290: 264,172,234,172,234,162,264,162,0.93
290: 316,150,288,150,288,139,316,139,0.906
290: 281,147,253,147,253,135,281,135,0.84
290: 329,189,303,189,303,179,329,179,0.6
290: 333,172,304,172,304,162,333,162,0.532
291: 109,182,50,182,50,161,109,161,0.928
291: 169,153,109,153,109,132,169,132,0.884
291: 233,175,173,175,173,154,233,154,0.88
291: 173,200,173,181,234,181,234,200,0.812
291: 50,208,50,188,110,188,110,208,0.772
291: 168,221,117,221,117,209,168,209,0.578
292: 140,173,140,145,221,145,221,173,0.897
292: 256,239,256,219,311,219,311,239,0.851
292: 177,218,177,192,239,192,239,218,0.835
292: 342,175,342,150,419,150,419,175,0.821
292: 422,218,342,218,342,193,422,193,0.8
292: 295,134,295,118,329,118,329,134,0.743
292: 173,130,173,103,276,103,276,130,0.674
293: 268,72,229,72,229,51,268,51,0.973
293: 184,122,146,122,146,100,184,100,0.933
293: 346,119,310,119,310,99,346,99,0.903
293: 286,121,262,121,262,111,286,111,0.812
293: 237,121,212,121,212,110,237,110,0.744
295: 380,241,337,241,337,225,380,225,0.959
295: 163,214,163,199,204,199,204,214,0.916
295: 386,214,330,214,330,199,386,199,0.899
295: 214,240,158,240,158,226,214,226,0.775
295: 276,162,276,148,331,148,331,162,0.761
295: 265,164,213,164,213,149,265,149,0.742
295: 267,261,267,206,279,206,279,261,0.566
295: 257,231,233,231,233,220,257,220,0.546
297: 103,351,103,188,145,189,145,351,0.888
297: 170,330,170,274,276,274,276,330,0.796
297: 304,260,276,260,276,158,304,158,0.742
297: 453,271,453,81,507,82,507,271,0.635
297: 235,146,235,71,373,72,373,146,0.627
297: 325,295,325,242,411,242,411,295,0.605
297: 322,272,322,263,409,263,409,272,0.573
298: 196,100,143,100,143,83,196,83,0.796
298: 204,71,204,53,255,53,255,71,0.763
298: 206,132,206,118,253,118,253,132,0.723
299: 81,142,81,118,147,118,147,142,0.877
299: 237,149,237,127,305,127,305,149,0.848
299: 159,82,159,54,239,54,239,82,0.817
301: 648,95,623,53,694,10,719,52,0.943
301: 380,80,369,61,439,19,450,38,0.931
301: 246,370,223,327,297,288,320,331,0.929
301: 41,499,34,452,114,440,121,487,0.911
301: 45,197,45,136,214,136,214,197,0.858
301: 343,258,281,258,281,226,343,226,0.844
301: 13,295,8,247,79,240,84,289,0.807
301: 517,261,517,216,620,216,620,261,0.779
301: 622,199,622,193,683,193,683,199,0.771
301: 272,212,272,177,338,177,338,212,0.761
301: 241,143,241,93,341,93,341,143,0.708
301: 696,270,653,270,653,243,696,243,0.654
301: 620,214,620,176,687,176,687,214,0.607
302: 260,150,260,95,369,95,369,150,0.917
302: 261,245,261,195,366,195,366,245,0.808
303: 54,82,14,82,14,67,54,67,0.951
303: 166,28,113,28,113,16,166,16,0.95
303: 122,90,89,90,89,78,122,78,0.941
303: 158,83,158,68,197,68,197,83,0.923
303: 197,53,158,53,158,39,197,39,0.86
303: 98,29,59,29,59,15,98,15,0.856
303: 55,52,15,52,15,38,55,38,0.806
305: 100,502,37,502,37,468,100,468,0.826
305: 269,486,269,436,412,436,412,486,0.749
305: 267,428,267,371,409,371,409,428,0.736
305: 189,507,151,507,151,481,189,481,0.565
306: 552,571,552,538,789,538,789,571,0.79
306: 762,535,578,535,578,506,762,506,0.735
307: 613,202,613,14,875,14,875,202,0.712
307: 116,425,116,286,293,286,293,425,0.674
307: 344,327,344,160,550,161,550,327,0.614
308: 203,397,203,247,241,247,241,397,0.917
308: 174,396,135,396,135,242,174,242,0.895
308: 69,394,69,235,107,235,107,394,0.865
309: 488,592,488,519,586,519,586,592,0.887
309: 797,680,797,616,880,616,880,680,0.787
309: 654,637,654,572,740,572,740,637,0.718
310: 82,370,82,314,184,314,184,370,0.942
310: 214,387,214,336,313,336,313,387,0.941
310: 131,310,131,246,274,246,274,310,0.807
311: 81,142,81,118,147,118,147,142,0.919
311: 305,149,239,149,239,127,305,127,0.887
311: 237,82,159,82,159,54,237,54,0.816
312: 546,417,546,386,671,386,671,417,0.951
312: 397,432,268,432,268,404,397,404,0.933
312: 669,487,545,487,545,454,669,454,0.784
